Object ID,Object Name,Primary Object Type,Secondary Object Type,Max Potential Damage: Structure,Max Potential Damage: Content,Ground Elevation,X Coordinate,Y Coordinate,Aggregation Label: Census Block,Ground Floor Height,Extraction Method,Damage Function: Structure,Damage Function: Content,geometry,Zoning_map,Land_use_map
574296083,574296083,RES,RES3A,688086.135,344043.067,5.879683163,-79.93983264,32.77206559,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.93983264 32.772065591),SR-2,Neighborhood
574296085,574296085,RES,RES3A,687205.114,343602.557,4.690638906,-79.94108104,32.77214676,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.94108104 32.772146762),SR-2,Neighborhood
574296093,574296093,RES,RES3A,631595.465,315797.732,4.461288908,-79.94034008,32.77226307,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.94034008 32.772263073),SR-2,Neighborhood
574296095,574296095,RES,RES1-2SNB,370476.248,185238.124,5.593940286,-79.94057186,32.77229336,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.94057186 32.77229336),SR-2,Neighborhood
574372048,574372048,RES,RES1-1SNB,215383.703,107691.851,4.348587628,-79.94000969,32.77256011,450000000000000.0,1,centroid,RES1-1SNB,RES1-1SNB,POINT (-79.94000969 32.772560114),STR,Neighborhood
574372064,574372064,RES,RES3B,266222.23,133111.115,4.543431855,-79.94071309,32.77286163,450000000000000.0,1,centroid,RES3B,RES3B,POINT (-79.94071309 32.772861632),STR,Neighborhood
574372078,574372078,RES,RES1-2SNB,316735.013,158367.506,4.966872417,-79.9406681,32.77322778,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.9406681 32.773227775),STR,Neighborhood
574371892,574371892,RES,RES1-2SNB,345029.076,172514.538,4.950632888,-79.93651865,32.77219526,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.93651865 32.772195261),DR-1,Neighborhood
574371900,574371900,RES,RES1-2SNB,413577.675,206788.837,4.875310058,-79.93685673,32.7726851,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.93685673 32.772685101),DR-1,Neighborhood
574371906,574371906,RES,RES3A,370160.436,185080.218,5.571183748,-79.93657663,32.7729682,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.93657663 32.772968201),DR-1,Neighborhood
