Object ID,Object Name,Primary Object Type,Secondary Object Type,Max Potential Damage: Structure,Max Potential Damage: Content,Ground Elevation,X Coordinate,Y Coordinate,Aggregation Label: Census Block,Finished Floor Height,Extraction Method,Damage Function: Structure,Damage Function: Content
573800728,573800728,RES,RES1-2SNB,366904.339,183452.169,4.914053079,-79.94171108,32.77290253,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573800732,573800732,RES,RES1-2SNB,368737.359,184368.679,4.34344223,-79.94203934,32.77304317,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573800791,573800791,COM,COM4,107840.171,107840.171,4.958322435,-79.94360752,32.77543626,4.5019E+14,1,centroid,COM4,COM4
573800793,573800793,COM,COM3,64704.1031,64704.1031,4.958322435,-79.94360752,32.77543626,4.5019E+14,1,centroid,COM3,COM3
573800795,573800795,PUB,REL1,1701559.68,1701559.68,6.631676349,-79.94304606,32.7759502,4.5019E+14,1,centroid,REL1,REL1
573800797,573800797,COM,COM4,1063474.8,1063474.8,6.631676349,-79.94304606,32.7759502,4.5019E+14,1,centroid,COM4,COM4
573800801,573800801,COM,COM5,987899.431,987899.431,4.327391606,-79.9431408,32.77652303,4.5019E+14,1,centroid,COM5,COM5
573800805,573800805,RES,RES1-1SNB,240399.36,120199.68,4.997913375,-79.94356051,32.77701734,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
573800809,573800809,RES,RES1-1SNB,218710.262,109355.131,5.465973725,-79.94368712,32.77722233,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
573800813,573800813,RES,RES3A,571424.938,285712.469,6.71397613,-79.9433719,32.7773664,4.5019E+14,1,centroid,RES3A,RES3A
573800817,573800817,RES,RES3A,260917.33,130458.665,7.194719676,-79.94308681,32.77741946,4.5019E+14,1,centroid,RES3A,RES3A
573800823,573800823,RES,RES3A,513882.369,256941.184,5.465973725,-79.94369184,32.77722727,4.5019E+14,1,centroid,RES3A,RES3A
573800826,573800826,RES,RES1-1SNB,254092.507,127046.253,4.997913375,-79.94356439,32.77703338,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
573800969,573800969,RES,RES1-3SNB,398297.048,199148.524,4.917524932,-79.94242512,32.77358757,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
573868259,573868259,RES,RES1-3SWB,191057.825,95528.9127,6.270217189,-79.9457411,32.77730858,4.5019E+14,1,centroid,RES1-3SWB,RES1-3SWB
574296105,574296105,RES,RES1-2SNB,326388.249,163194.124,4.209433463,-79.94120099,32.77266511,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574422150,574422150,RES,RES3A,555462.891,277731.445,5.793754695,-79.94551694,32.77647861,4.5019E+14,1,centroid,RES3A,RES3A
574431435,574431435,RES,RES1-1SNB,247455.456,123727.728,4.078337266,-79.94199805,32.77523193,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
